constraint_definition;constraint_name;initially_deferred;is_deferrable;match_type;on_delete;on_update;source_columns;source_schema;source_table;target_columns;target_schema;target_table
FOREIGN KEY (tenant_id) REFERENCES profiles(id);observability_logs_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;observability_logs;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;operational_insights_interactions_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;operational_insights_interactions;id;auth;users
FOREIGN KEY (gateway_id) REFERENCES payment_gateways(id) ON DELETE CASCADE;payment_gateway_logs_gateway_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;gateway_id;public;payment_gateway_logs;id;public;payment_gateways
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE CASCADE;payment_receipts_appointment_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_id;public;payment_receipts;id;public;appointments
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL;privacy_consents_customer_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;customer_id;public;privacy_consents;id;public;customers
FOREIGN KEY (product_id) REFERENCES products(id) ON DELETE CASCADE;product_images_product_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;product_id;public;product_images;id;public;products
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE SET NULL;product_sales_appointment_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;appointment_id;public;product_sales;id;public;appointments
FOREIGN KEY (barber_id) REFERENCES barbers(id);product_sales_barber_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;barber_id;public;product_sales;id;public;barbers
FOREIGN KEY (customer_id) REFERENCES customers(id);product_sales_customer_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;customer_id;public;product_sales;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id);product_sales_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;product_sales;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id);product_sales_user_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;user_id;public;product_sales;id;auth;users
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;products_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;products;id;auth;users
FOREIGN KEY (approved_by) REFERENCES auth.users(id);professional_time_off_approved_by_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;approved_by;public;professional_time_off;id;auth;users
FOREIGN KEY (cancelled_by) REFERENCES auth.users(id);professional_time_off_cancelled_by_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;cancelled_by;public;professional_time_off;id;auth;users
FOREIGN KEY (professional_id) REFERENCES barbers(id) ON DELETE CASCADE;professional_time_off_professional_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;professional_id;public;professional_time_off;id;public;barbers
FOREIGN KEY (requested_by) REFERENCES auth.users(id);professional_time_off_requested_by_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;requested_by;public;professional_time_off;id;auth;users
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;professional_time_off_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;professional_time_off;id;public;profiles
FOREIGN KEY (id) REFERENCES auth.users(id) ON DELETE CASCADE;profiles_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;id;public;profiles;id;auth;users
FOREIGN KEY (tenant_id) REFERENCES profiles(id);profiles_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;profiles;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;push_subscriptions_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;push_subscriptions;id;auth;users
FOREIGN KEY (refund_id) REFERENCES refund_requests(id) ON DELETE CASCADE;refund_audits_refund_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;refund_id;public;refund_audits;id;public;refund_requests
FOREIGN KEY (tenant_id) REFERENCES profiles(id);refund_audits_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;refund_audits;id;public;profiles
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE CASCADE;refund_requests_appointment_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_id;public;refund_requests;id;public;appointments
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;refund_requests_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;refund_requests;id;public;customers
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE CASCADE;review_automation_logs_appointment_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_id;public;review_automation_logs;id;public;appointments
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL;review_automation_logs_customer_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;customer_id;public;review_automation_logs;id;public;customers
FOREIGN KEY (review_id) REFERENCES appointment_reviews(id) ON DELETE SET NULL;review_automation_logs_review_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;review_id;public;review_automation_logs;id;public;appointment_reviews
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;review_automation_logs_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;review_automation_logs;id;public;profiles
FOREIGN KEY (permission_key) REFERENCES permissions(key) ON DELETE CASCADE;role_permissions_permission_key_fkey;false;false;SIMPLE;CASCADE;NO ACTION;permission_key;public;role_permissions;key;public;permissions
FOREIGN KEY (minimum_plan_id) REFERENCES plans(id) ON DELETE SET NULL;saas_addons_minimum_plan_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;minimum_plan_id;public;saas_addons;id;public;plans
FOREIGN KEY (actor_user_id) REFERENCES auth.users(id);saas_admin_voucher_audit_logs_actor_user_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;actor_user_id;public;saas_admin_voucher_audit_logs;id;auth;users
FOREIGN KEY (barbershop_id) REFERENCES barbershops(id) ON DELETE SET NULL;saas_admin_voucher_audit_logs_barbershop_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;barbershop_id;public;saas_admin_voucher_audit_logs;id;public;barbershops
FOREIGN KEY (redemption_id) REFERENCES saas_admin_voucher_redemptions(id) ON DELETE SET NULL;saas_admin_voucher_audit_logs_redemption_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;redemption_id;public;saas_admin_voucher_audit_logs;id;public;saas_admin_voucher_redemptions
FOREIGN KEY (tenant_id) REFERENCES auth.users(id) ON DELETE SET NULL;saas_admin_voucher_audit_logs_tenant_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;tenant_id;public;saas_admin_voucher_audit_logs;id;auth;users
FOREIGN KEY (voucher_id) REFERENCES saas_admin_vouchers(id) ON DELETE SET NULL;saas_admin_voucher_audit_logs_voucher_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;voucher_id;public;saas_admin_voucher_audit_logs;id;public;saas_admin_vouchers
FOREIGN KEY (applied_by) REFERENCES auth.users(id);saas_admin_voucher_redemptions_applied_by_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;applied_by;public;saas_admin_voucher_redemptions;id;auth;users
FOREIGN KEY (applied_plan_id) REFERENCES plans(id);saas_admin_voucher_redemptions_applied_plan_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;applied_plan_id;public;saas_admin_voucher_redemptions;id;public;plans
FOREIGN KEY (barbershop_id) REFERENCES barbershops(id) ON DELETE SET NULL;saas_admin_voucher_redemptions_barbershop_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;barbershop_id;public;saas_admin_voucher_redemptions;id;public;barbershops
FOREIGN KEY (previous_plan_id) REFERENCES plans(id);saas_admin_voucher_redemptions_previous_plan_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;previous_plan_id;public;saas_admin_voucher_redemptions;id;public;plans
FOREIGN KEY (revoked_by) REFERENCES auth.users(id);saas_admin_voucher_redemptions_revoked_by_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;revoked_by;public;saas_admin_voucher_redemptions;id;auth;users
FOREIGN KEY (tenant_id) REFERENCES auth.users(id) ON DELETE CASCADE;saas_admin_voucher_redemptions_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;saas_admin_voucher_redemptions;id;auth;users
FOREIGN KEY (voucher_id) REFERENCES saas_admin_vouchers(id) ON DELETE CASCADE;saas_admin_voucher_redemptions_voucher_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;voucher_id;public;saas_admin_voucher_redemptions;id;public;saas_admin_vouchers
FOREIGN KEY (allowed_plan_id) REFERENCES plans(id) ON DELETE SET NULL;saas_admin_vouchers_allowed_plan_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;allowed_plan_id;public;saas_admin_vouchers;id;public;plans
FOREIGN KEY (applied_by) REFERENCES auth.users(id);saas_admin_vouchers_applied_by_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;applied_by;public;saas_admin_vouchers;id;auth;users
FOREIGN KEY (created_by) REFERENCES auth.users(id);saas_admin_vouchers_created_by_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;created_by;public;saas_admin_vouchers;id;auth;users
FOREIGN KEY (revoked_by) REFERENCES auth.users(id);saas_admin_vouchers_revoked_by_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;revoked_by;public;saas_admin_vouchers;id;auth;users
FOREIGN KEY (specific_barbershop_id) REFERENCES barbershops(id) ON DELETE CASCADE;saas_admin_vouchers_specific_barbershop_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;specific_barbershop_id;public;saas_admin_vouchers;id;public;barbershops
FOREIGN KEY (specific_tenant_id) REFERENCES auth.users(id) ON DELETE CASCADE;saas_admin_vouchers_specific_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;specific_tenant_id;public;saas_admin_vouchers;id;auth;users
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;saas_checkout_sessions_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;saas_checkout_sessions;id;auth;users
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;security_activity_logs_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;security_activity_logs;id;auth;users
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE CASCADE;service_ratings_appointment_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_id;public;service_ratings;id;public;appointments
FOREIGN KEY (barber_id) REFERENCES barbers(id) ON DELETE CASCADE;service_ratings_barber_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;barber_id;public;service_ratings;id;public;barbers
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;service_ratings_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;service_ratings;id;public;customers
FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE;service_ratings_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;service_ratings;id;public;profiles
FOREIGN KEY (tenant_id) REFERENCES profiles(id);services_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;services;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;services_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;services;id;auth;users
FOREIGN KEY (service_id) REFERENCES status_services(id) ON DELETE CASCADE;status_checks_service_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;service_id;public;status_checks;id;public;status_services
FOREIGN KEY (subscription_id) REFERENCES customer_subscriptions(id) ON DELETE SET NULL;subscription_card_scans_subscription_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;subscription_id;public;subscription_card_scans;id;public;customer_subscriptions
FOREIGN KEY (coupon_id) REFERENCES coupons(id) ON DELETE SET NULL;subscription_invoices_coupon_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;coupon_id;public;subscription_invoices;id;public;coupons
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;subscription_invoices_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;subscription_invoices;id;public;customers
FOREIGN KEY (subscription_id) REFERENCES customer_subscriptions(id) ON DELETE CASCADE;subscription_invoices_subscription_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;subscription_id;public;subscription_invoices;id;public;customer_subscriptions
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;subscription_loyalty_history_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;subscription_loyalty_history;id;public;customers
FOREIGN KEY (reward_id) REFERENCES subscription_loyalty_rewards(id) ON DELETE RESTRICT;subscription_loyalty_history_reward_id_fkey;false;false;SIMPLE;RESTRICT;NO ACTION;reward_id;public;subscription_loyalty_history;id;public;subscription_loyalty_rewards
FOREIGN KEY (subscription_id) REFERENCES customer_subscriptions(id) ON DELETE CASCADE;subscription_loyalty_history_subscription_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;subscription_id;public;subscription_loyalty_history;id;public;customer_subscriptions
FOREIGN KEY (gateway_id) REFERENCES payment_gateways(id) ON DELETE SET NULL;subscription_payments_gateway_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;gateway_id;public;subscription_payments;id;public;payment_gateways
FOREIGN KEY (subscription_id) REFERENCES customer_subscriptions(id) ON DELETE CASCADE;subscription_payments_subscription_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;subscription_id;public;subscription_payments;id;public;customer_subscriptions
FOREIGN KEY (benefit_id) REFERENCES subscription_plan_benefits(id) ON DELETE CASCADE;subscription_plan_benefit_services_benefit_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;benefit_id;public;subscription_plan_benefit_services;id;public;subscription_plan_benefits
FOREIGN KEY (plan_id) REFERENCES subscription_plans(id) ON DELETE CASCADE;subscription_plan_benefit_services_plan_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;plan_id;public;subscription_plan_benefit_services;id;public;subscription_plans
FOREIGN KEY (service_id) REFERENCES services(id) ON DELETE CASCADE;subscription_plan_benefit_services_service_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;service_id;public;subscription_plan_benefit_services;id;public;services
FOREIGN KEY (plan_id) REFERENCES subscription_plans(id) ON DELETE CASCADE;subscription_plan_benefits_plan_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;plan_id;public;subscription_plan_benefits;id;public;subscription_plans
FOREIGN KEY (subscription_id) REFERENCES customer_subscriptions(id) ON DELETE CASCADE;subscription_plan_changes_subscription_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;subscription_id;public;subscription_plan_changes;id;public;customer_subscriptions
FOREIGN KEY (plan_id) REFERENCES subscription_plans(id) ON DELETE CASCADE;subscription_plan_services_plan_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;plan_id;public;subscription_plan_services;id;public;subscription_plans
FOREIGN KEY (service_id) REFERENCES services(id) ON DELETE CASCADE;subscription_plan_services_service_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;service_id;public;subscription_plan_services;id;public;services
FOREIGN KEY (referred_customer_id) REFERENCES customers(id) ON DELETE CASCADE;subscription_referrals_referred_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;referred_customer_id;public;subscription_referrals;id;public;customers
FOREIGN KEY (referrer_customer_id) REFERENCES customers(id) ON DELETE CASCADE;subscription_referrals_referrer_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;referrer_customer_id;public;subscription_referrals;id;public;customers
FOREIGN KEY (referrer_subscription_id) REFERENCES customer_subscriptions(id) ON DELETE SET NULL;subscription_referrals_referrer_subscription_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;referrer_subscription_id;public;subscription_referrals;id;public;customer_subscriptions
FOREIGN KEY (subscription_id) REFERENCES customer_subscriptions(id) ON DELETE SET NULL;subscription_referrals_subscription_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;subscription_id;public;subscription_referrals;id;public;customer_subscriptions
FOREIGN KEY (subscription_id) REFERENCES customer_subscriptions(id) ON DELETE CASCADE;subscription_status_logs_subscription_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;subscription_id;public;subscription_status_logs;id;public;customer_subscriptions
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;subscription_usage_logs_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;subscription_usage_logs;id;public;customers
FOREIGN KEY (service_id) REFERENCES services(id) ON DELETE SET NULL;subscription_usage_logs_service_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;service_id;public;subscription_usage_logs;id;public;services
FOREIGN KEY (subscription_id) REFERENCES customer_subscriptions(id) ON DELETE CASCADE;subscription_usage_logs_subscription_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;subscription_id;public;subscription_usage_logs;id;public;customer_subscriptions
FOREIGN KEY (subscription_plan_id) REFERENCES subscription_plans(id) ON DELETE SET NULL;subscription_usage_logs_subscription_plan_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;subscription_plan_id;public;subscription_usage_logs;id;public;subscription_plans
FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE;subscriptions_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;subscriptions;id;public;profiles
FOREIGN KEY (sender_id) REFERENCES auth.users(id);support_messages_sender_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;sender_id;public;support_messages;id;auth;users
FOREIGN KEY (ticket_id) REFERENCES support_tickets(id) ON DELETE CASCADE;support_messages_ticket_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;ticket_id;public;support_messages;id;public;support_tickets
FOREIGN KEY (barbershop_id) REFERENCES barbershops(id) ON DELETE CASCADE;support_tickets_barbershop_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;barbershop_id;public;support_tickets;id;public;barbershops
FOREIGN KEY (user_id) REFERENCES auth.users(id);support_tickets_user_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;user_id;public;support_tickets;id;auth;users
FOREIGN KEY (actor_id) REFERENCES auth.users(id);team_audit_logs_actor_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;actor_id;public;team_audit_logs;id;auth;users
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;team_audit_logs_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;team_audit_logs;id;public;profiles
FOREIGN KEY (addon_id) REFERENCES saas_addons(id) ON DELETE RESTRICT;tenant_addons_addon_id_fkey;false;false;SIMPLE;RESTRICT;NO ACTION;addon_id;public;tenant_addons;id;public;saas_addons
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;tenant_memberships_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;tenant_memberships;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;tenant_memberships_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;tenant_memberships;id;auth;users
FOREIGN KEY (ticket_id) REFERENCES support_tickets(id) ON DELETE CASCADE;ticket_messages_ticket_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;ticket_id;public;ticket_messages;id;public;support_tickets
FOREIGN KEY (adjusted_by) REFERENCES auth.users(id);transactions_adjusted_by_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;adjusted_by;public;transactions;id;auth;users
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE SET NULL;transactions_appointment_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;appointment_id;public;transactions;id;public;appointments
FOREIGN KEY (barber_id) REFERENCES barbers(id);transactions_barber_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;barber_id;public;transactions;id;public;barbers
FOREIGN KEY (customer_id) REFERENCES customers(id);transactions_customer_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;customer_id;public;transactions;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id);transactions_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;transactions;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;transactions_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;transactions;id;auth;users
FOREIGN KEY (category_id) REFERENCES tutorial_categories(id);tutorials_category_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;category_id;public;tutorials;id;public;tutorial_categories
FOREIGN KEY (invited_by) REFERENCES auth.users(id) ON DELETE SET NULL;user_invitations_invited_by_fkey;false;false;SIMPLE;SET NULL;NO ACTION;invited_by;public;user_invitations;id;auth;users
FOREIGN KEY (professional_id) REFERENCES barbers(id) ON DELETE SET NULL;user_invitations_professional_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;professional_id;public;user_invitations;id;public;barbers
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;user_invitations_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;user_invitations;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;user_mfa_backup_codes_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;user_mfa_backup_codes;id;auth;users
FOREIGN KEY (user_id) REFERENCES auth.users(id);user_onboarding_preferences_user_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;user_id;public;user_onboarding_preferences;id;auth;users
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;user_onboarding_progress_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;user_onboarding_progress;id;auth;users
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;user_tour_states_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;user_tour_states;id;auth;users
FOREIGN KEY (barber_id) REFERENCES barbers(id) ON DELETE CASCADE;verification_challenges_barber_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;barber_id;public;verification_challenges;id;public;barbers
FOREIGN KEY (client_id) REFERENCES customers(id) ON DELETE CASCADE;verification_challenges_client_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;client_id;public;verification_challenges;id;public;customers
FOREIGN KEY (barber_id) REFERENCES barbers(id) ON DELETE SET NULL;waiting_list_barber_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;barber_id;public;waiting_list;id;public;barbers
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL;waiting_list_customer_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;customer_id;public;waiting_list;id;public;customers
FOREIGN KEY (service_id) REFERENCES services(id) ON DELETE SET NULL;waiting_list_service_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;service_id;public;waiting_list;id;public;services
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;wallet_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;wallet;id;public;customers
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE SET NULL;wallet_transactions_appointment_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;appointment_id;public;wallet_transactions;id;public;appointments
FOREIGN KEY (wallet_id) REFERENCES wallet(id) ON DELETE CASCADE;wallet_transactions_wallet_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;wallet_id;public;wallet_transactions;id;public;wallet
FOREIGN KEY (barbershop_id) REFERENCES profiles(id) ON DELETE CASCADE;webhook_logs_barbershop_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;barbershop_id;public;webhook_logs;id;public;profiles
FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE;whatsapp_connections_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;whatsapp_cloud_connections;id;public;profiles
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE CASCADE;whatsapp_conversations_appointment_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_id;public;whatsapp_conversations;id;public;appointments
FOREIGN KEY (barber_id) REFERENCES barbers(id) ON DELETE CASCADE;whatsapp_conversations_barber_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;barber_id;public;whatsapp_conversations;id;public;barbers
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;whatsapp_conversations_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;whatsapp_conversations;id;public;customers
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE SET NULL;whatsapp_delivery_logs_appointment_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;appointment_id;public;whatsapp_delivery_logs;id;public;appointments
FOREIGN KEY (dispatch_id) REFERENCES automation_v2_dispatches(id) ON DELETE CASCADE;whatsapp_delivery_logs_dispatch_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;dispatch_id;public;whatsapp_delivery_logs;id;public;automation_v2_dispatches
FOREIGN KEY (tenant_id) REFERENCES auth.users(id);whatsapp_delivery_logs_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;whatsapp_delivery_logs;id;auth;users
FOREIGN KEY (barber_id) REFERENCES auth.users(id);whatsapp_connections_barber_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;barber_id;public;whatsapp_instances;id;auth;users
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;whatsapp_connections_barbershop_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;whatsapp_instances;id;public;profiles
FOREIGN KEY (connection_id) REFERENCES whatsapp_instances(id) ON DELETE SET NULL;whatsapp_messages_connection_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;connection_id;public;whatsapp_messages;id;public;whatsapp_instances
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL;whatsapp_messages_customer_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;customer_id;public;whatsapp_messages;id;public;customers
FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE;whatsapp_messages_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;whatsapp_messages;id;public;profiles
FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE;whatsapp_templates_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;whatsapp_templates;id;public;profiles
FOREIGN KEY (tenant_id) REFERENCES profiles(id);zapi_integration_logs_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;zapi_integration_logs;id;public;profiles
FOREIGN KEY (matched_conversation_id) REFERENCES automation_conversations(id) ON DELETE SET NULL;zapi_webhook_debug_matched_conversation_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;matched_conversation_id;public;zapi_webhook_debug;id;public;automation_conversations
FOREIGN KEY (tenant_id) REFERENCES barbershops(id) ON DELETE CASCADE;zapi_webhook_debug_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;zapi_webhook_debug;id;public;barbershops
FOREIGN KEY (tenant_id) REFERENCES profiles(id);zapi_webhook_logs_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;zapi_webhook_logs;id;public;profiles
