constraint_definition;constraint_name;initially_deferred;is_deferrable;match_type;on_delete;on_update;source_columns;source_schema;source_table;target_columns;target_schema;target_table
FOREIGN KEY (conversation_id) REFERENCES automation_conversations(id) ON DELETE SET NULL;automation_logs_conversation_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;conversation_id;public;automation_logs;id;public;automation_conversations
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;automation_logs_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;automation_logs;id;public;profiles
FOREIGN KEY (appointment_group_id) REFERENCES appointment_groups(id) ON DELETE CASCADE;automation_queue_appointment_group_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_group_id;public;automation_queue;id;public;appointment_groups
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE CASCADE;automation_queue_appointment_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_id;public;automation_queue;id;public;appointments
FOREIGN KEY (automation_id) REFERENCES automation_templates(id) ON DELETE CASCADE;automation_queue_automation_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;automation_id;public;automation_queue;id;public;automation_templates
FOREIGN KEY (customer_id) REFERENCES customers(id);automation_queue_customer_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;customer_id;public;automation_queue;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;automation_queue_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;automation_queue;id;public;profiles
FOREIGN KEY (tenant_id) REFERENCES profiles(id);automation_reconciliation_settings_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;automation_reconciliation_settings;id;public;profiles
FOREIGN KEY (appointment_id) REFERENCES appointments(id);automation_send_history_appointment_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;appointment_id;public;automation_send_history;id;public;appointments
FOREIGN KEY (conversation_id) REFERENCES automation_conversations(id);automation_send_history_conversation_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;conversation_id;public;automation_send_history;id;public;automation_conversations
FOREIGN KEY (tenant_id) REFERENCES profiles(id);automation_send_history_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;automation_send_history;id;public;profiles
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;automation_templates_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;automation_templates;id;public;profiles
FOREIGN KEY (wait_timeout_interaction_id) REFERENCES automation_interactions(id) ON DELETE SET NULL;automation_templates_wait_timeout_interaction_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;wait_timeout_interaction_id;public;automation_templates;id;public;automation_interactions
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE CASCADE;automation_v2_dispatches_appointment_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_id;public;automation_v2_dispatches;id;public;appointments
FOREIGN KEY (customer_id) REFERENCES customers(id);automation_v2_dispatches_customer_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;customer_id;public;automation_v2_dispatches;id;public;customers
FOREIGN KEY (session_id) REFERENCES automation_conversations(id) ON DELETE SET NULL;automation_v2_dispatches_session_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;session_id;public;automation_v2_dispatches;id;public;automation_conversations
FOREIGN KEY (tenant_id) REFERENCES barbershops(id) ON DELETE CASCADE;automation_v2_dispatches_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;automation_v2_dispatches;id;public;barbershops
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE CASCADE;automation_v2_logs_appointment_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_id;public;automation_v2_logs;id;public;appointments
FOREIGN KEY (tenant_id) REFERENCES barbershops(id) ON DELETE CASCADE;automation_v2_logs_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;automation_v2_logs;id;public;barbershops
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE CASCADE;automation_v2_sessions_appointment_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_id;public;automation_v2_sessions;id;public;appointments
FOREIGN KEY (customer_id) REFERENCES customers(id);automation_v2_sessions_customer_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;customer_id;public;automation_v2_sessions;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES barbershops(id) ON DELETE CASCADE;automation_v2_sessions_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;automation_v2_sessions;id;public;barbershops
FOREIGN KEY (appointment_id) REFERENCES appointments(id);automation_webhook_logs_appointment_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;appointment_id;public;automation_webhook_logs;id;public;appointments
FOREIGN KEY (tenant_id) REFERENCES profiles(id);automation_webhook_logs_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;automation_webhook_logs;id;public;profiles
FOREIGN KEY (barber_id) REFERENCES auth.users(id);automations_barber_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;barber_id;public;automations;id;auth;users
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;automations_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;automations;id;public;profiles
FOREIGN KEY (wait_timeout_interaction_id) REFERENCES automation_interactions(id) ON DELETE SET NULL;automations_wait_timeout_interaction_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;wait_timeout_interaction_id;public;automations;id;public;automation_interactions
FOREIGN KEY (tenant_id) REFERENCES profiles(id);background_jobs_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;background_jobs;id;public;profiles
FOREIGN KEY (barber_id) REFERENCES barbers(id) ON DELETE CASCADE;barber_services_barber_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;barber_id;public;barber_services;id;public;barbers
FOREIGN KEY (service_id) REFERENCES services(id) ON DELETE CASCADE;barber_services_service_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;service_id;public;barber_services;id;public;services
FOREIGN KEY (tenant_id) REFERENCES auth.users(id);barber_services_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;barber_services;id;auth;users
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;barber_services_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;barber_services;id;auth;users
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE SET NULL;barber_tips_appointment_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;appointment_id;public;barber_tips;id;public;appointments
FOREIGN KEY (barber_id) REFERENCES barbers(id) ON DELETE CASCADE;barber_tips_barber_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;barber_id;public;barber_tips;id;public;barbers
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL;barber_tips_customer_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;customer_id;public;barber_tips;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id);barbers_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;barbers;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;barbers_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;barbers;id;auth;users
FOREIGN KEY (barber_id) REFERENCES profiles(id) ON DELETE CASCADE;barbershop_settings_barber_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;barber_id;public;barbershop_settings;id;public;profiles
FOREIGN KEY (owner_id) REFERENCES auth.users(id);barbershops_owner_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;owner_id;public;barbershops;id;auth;users
FOREIGN KEY (plan_id) REFERENCES plans(id);barbershops_plan_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;plan_id;public;barbershops;id;public;plans
FOREIGN KEY (campaign_id) REFERENCES campaigns(id) ON DELETE CASCADE;campaign_logs_campaign_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;campaign_id;public;campaign_logs;id;public;campaigns
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;campaign_logs_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;campaign_logs;id;public;profiles
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;campaigns_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;campaigns;id;public;profiles
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE SET NULL;cashback_transactions_appointment_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;appointment_id;public;cashback_transactions;id;public;appointments
